,Name,Mileage,Condition,Year,Price,Dealer,Count of ratings,Reviews
0,2023 Mazda CX-50 2.5 S Preferred Plus Package,2466.0,Used,2023,34560,Rudolph Mazda,20 ,4.5
1,2023 Acura MDX Technology,6628.0,Used,2023,53814,Vandergriff Acura,1363 ,4.2
2,2023 Acura MDX Technology,1524.0,Used,2023,54975,Vandergriff Acura,1363 ,4.2
3,2023 Acura MDX Technology,2942.0,Used,2023,55794,Vandergriff Acura,1363 ,4.2
4,2023 Acura MDX Advance,5.0,Used,2023,64695,Vandergriff Acura,1363 ,4.2
5,2022 Kia Telluride S,134.0,Used,2022,41998,Arapahoe Kia,178 ,2.0
6,2023 Acura MDX Technology,3797.0,Used,2023,54580,Vandergriff Acura,1363 ,4.2
7,2022 Cadillac CT5-V V-Series Blackwing,2025.0,Used,2022,109999,Cappellino Cadillac,0 ,No names
8,2023 Acura MDX A-Spec,3498.0,Used,2023,59591,Vandergriff Acura,1363 ,4.2
9,2022 BMW X7 M50i,3884.0,Used,2022,112820,BMW MINI of Clear Lake,377 ,4.7
10,2023 Acura MDX Advance,944.0,Used,2023,64695,Vandergriff Acura,1363 ,4.2
11,2022 Volkswagen Atlas 3.6L SE w/Technology,10301.0,Volkswagen Certified,2022,46355,Don Thornton Volkswagen of Tulsa,281 ,3.8
12,2022 Volkswagen Atlas 2.0T SE,9072.0,Volkswagen Certified,2022,38370,Don Thornton Volkswagen of Tulsa,281 ,3.8
13,2023 Acura MDX Advance,1306.0,Used,2023,63763,Vandergriff Acura,1363 ,4.2
14,2022 Ford Explorer Timberline,4535.0,Used,2022,48000,Jimmy Michel Motors,23 ,No names
15,2023 Honda Odyssey Touring,14.0,Used,2023,79888,Jerry's Toyota,935 ,3.8
16,2023 Acura MDX Advance,457.0,Used,2023,64584,Vandergriff Acura,1363 ,4.2
17,2020 Ford Expedition Max Limited,28077.0,Used,2020,62430,Jensen Ford Lincoln,282 ,4.6
18,2020 Mazda MX-5 Miata RF Grand Touring,9407.0,Used,2020,30940,Infiniti of Clearwater,279 ,3.6
19,2008 Ford Ranger XL,117710.0,Used,2008,7999,ODaniel Chrysler Dodge Jeep Ram,4741 ,4.9
20,2005 Subaru Baja Sport,98630.0,Used,2005,14000,Kunes GMC of Belvidere,30 ,3.5
21,2020 Mercedes-Benz S-Class S 560 4MATIC,30312.0,Used,2020,75887,Mercedes-Benz of San Antonio,1825 ,4.9
22,2008 Mercedes-Benz CLS-Class CLS 550,86593.0,Used,2008,12980,Star Motor Sales,189 ,3.4
23,2007 Toyota Camry Solara SLE,75645.0,Used,2007,13000,Lauterbach Buick-GMC,32 ,4.4
24,1964 Volkswagen Beetle (Pre-1980) ,23000.0,Used,1964,31064,Southern Motor Company,14 ,No names
25,2017 Ford Focus RS Base,25719.0,Used,2017,40000,Rides Auto Sales,62 ,5.0
26,2013 Subaru XV Crosstrek 2.0i Limited,62052.0,Used,2013,19000,Rides Auto Sales,62 ,5.0
27,2018 Volvo XC90 T6 R-Design,41600.0,Used,2018,37770,TCF Auto Wholesale,77 ,4.8
28,2021 Kia K5 GT-Line,40541.0,Used,2021,27329,Steven Nissan,150 ,4.6
29,2022 Chevrolet Trailblazer ACTIV,21434.0,Used,2022,36000,East Coast Honda,109 ,No names
30,2014 Volkswagen Tiguan 4MOTION Auto SE,41987.0,Used,2014,16500,Eide Chrysler,213 ,4.7
31,2018 Ford Shelby GT350 Base,37492.0,Used,2018,58995,Hub City Ford,446 ,4.6
32,2020 Chevrolet Colorado WT,43041.0,Used,2020,22500,Estle Chevrolet Cadillac,75 ,2.1
33,2018 INFINITI Q70L 3.7 LUXE,32719.0,Used,2018,34998,CarMax North Houston - Now offering Curbside Pickup and Home Delivery,2 ,No names
34,2021 Ford Expedition Max Limited,27240.0,Used,2021,62149,Audi Columbia,181 ,4.6
35,2022 Chevrolet Blazer 2LT,22886.0,Used,2022,35500,Kool Chevrolet,424 ,3.4
36,2019 Hyundai Tucson SE,45706.0,Used,2019,20988,Springfield Select Autos,6 ,No names
37,2017 BMW 750 i,51028.0,Used,2017,41152,Lindsay Acura,283 ,3.4
38,2015 BMW 328 i,49692.0,Used,2015,18977,BMW of Beaumont,120 ,4.8
39,2006 Mercedes-Benz SLK-Class SLK350 Roadster,57601.0,Used,2006,14910,Mercedes-Benz of Chesterfield,99 ,4.2
40,2019 Volkswagen Atlas 3.6L SE w/Technology,45618.0,Used,2019,27599,Key Acura of Gainesville,66 ,5.0
41,2016 Nissan 370Z Sport Tech,59256.0,Used,2016,26997,Carousel Nissan,56 ,No names
42,2019 Subaru Forester Premium,30615.0,Used,2019,28254,Kelley Buick GMC of Bartow,464 ,4.3
43,2018 Ford Focus ST Base,34240.0,Used,2018,25998,CarMax Arlington/Ft. Worth - Now offering Curbside Pickup and Home Delivery,16 ,No names
44,2019 Lexus GX 460 Base,27272.0,Used,2019,39899,Performance Alfa Romeo,12 ,5.0
45,2014 Lexus RX 350 F Sport,110056.0,Used,2014,19460,Performance Toyota Bountiful,1613 ,4.2
46,2016 Hyundai Tucson Eco,54572.0,Used,2016,18900,Pat McGrath Chrysler Jeep Dodge RAM,313 ,4.5
47,2015 Land Rover Range Rover Evoque Pure,111276.0,Used,2015,19995,Land of Cars,12 ,No names
48,2015 Maserati Ghibli Base,38413.0,Used,2015,28888,Bentley High Point,No names,No names
49,2018 Mercedes-Benz GLS 450 Base 4MATIC,60255.0,Used,2018,42371,Gebhardt BMW,373 ,3.8
50,2017 Volvo S60 Cross Country T5,14029.0,Used,2017,30998,CarMax Serramonte - Now offering Curbside Pickup and Home Delivery,4 ,No names
51,2017 Chevrolet Cruze LT,56148.0,Used,2017,16204,McGrath Fulton CDJR,75 ,4.7
52,2017 Mitsubishi Lancer SE,74897.0,Used,2017,18998,CarMax Lancaster - Now offering Curbside Pickup,13 ,No names
53,2006 Chevrolet Colorado LT,126195.0,Used,2006,10000,Eide Ford-Lincoln Inc,637 ,4.7
54,2014 Toyota Tacoma Base,33162.0,Used,2014,26788,Haddad Toyota,853 ,3.8
55,2010 Chevrolet Camaro 2SS,28262.0,Used,2010,24900,McKenney Salinas Honda,549 ,4.8
56,2022 Buick Envision Essence,10317.0,Used,2022,39040,Sterling Value Pre-Owned,7 ,No names
57,2011 Chevrolet Traverse LS,135110.0,Used,2011,8500,Sundance Chevrolet,9262 ,4.8
58,2020 Mazda MX-5 Miata RF Grand Touring,9407.0,Used,2020,30940,Infiniti of Clearwater,279 ,3.6
59,2008 Ford Ranger XL,117710.0,Used,2008,7999,ODaniel Chrysler Dodge Jeep Ram,4741 ,4.9
60,2005 Subaru Baja Sport,98630.0,Used,2005,14000,Kunes GMC of Belvidere,30 ,3.5
61,2015 Mercedes-Benz C-Class C 300,52643.0,Used,2015,23998,CarMax Reno - Now offering Curbside Pickup,7 ,No names
62,2020 Chevrolet Colorado WT,43041.0,Used,2020,22500,Estle Chevrolet Cadillac,75 ,2.1
63,2022 Audi Q7 45 Premium Plus,4010.0,Used,2022,56804,Kelley Buick GMC of Bartow,464 ,4.3
64,2018 INFINITI Q70L 3.7 LUXE,32719.0,Used,2018,34998,CarMax North Houston - Now offering Curbside Pickup and Home Delivery,2 ,No names
65,2017 GMC Yukon XL Denali,86403.0,Used,2017,41900,Green Buick GMC,407 ,4.5
66,2021 Ford Expedition Max Limited,27240.0,Used,2021,62149,Audi Columbia,181 ,4.6
67,2022 Chevrolet Blazer 2LT,22886.0,Used,2022,35500,Kool Chevrolet,424 ,3.4
68,2019 Hyundai Tucson SE,45706.0,Used,2019,20988,Springfield Select Autos,6 ,No names
69,2017 BMW 750 i,51028.0,Used,2017,41152,Lindsay Acura,283 ,3.4
70,2021 Ford F-250 Lariat,33647.0,Used,2021,73995,Carson Ford,4 ,No names
71,2011 Land Rover LR4 Base,69401.0,Used,2011,19995,MAG Motor Company,6 ,No names
72,2021 Kia Telluride S,32228.0,Used,2021,41998,CarMax Hickory - Now offering Curbside Pickup and Home Delivery,3 ,No names
73,2021 Chevrolet Traverse LT Leather,40143.0,Used,2021,36998,CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery,2 ,No names
74,2020 Land Rover Range Rover Evoque SE,36000.0,Used,2020,42500,No names,No names,No names
75,2002 Buick LeSabre Custom,62247.0,Used,2002,7495,Parkway Auto,83 ,2.5
76,2022 GMC Savana 3500 LS,13451.0,Used,2022,49977,KC Summers Nissan Toyota Buick GMC,35 ,No names
77,2016 Mazda CX-3 Touring,60555.0,Used,2016,16000,Auto Boutique,1050 ,4.9
78,2020 Mercedes-Benz GLB 250 Base,7229.0,Used,2020,41411,Mercedes-Benz of North Orlando,538 ,4.7
79,2021 BMW 228 Gran Coupe 228i sDrive Gran Coupe,24544.0,Used,2021,34332,BMW of Beaumont,120 ,4.8
