Name,Mileage,Condition,Price,Dealer,Count of ratings,Reviews
2023 Mazda CX-50 2.5 S Preferred Plus Package,"2,466 mi.",Used,"$34,560",,20,4.5
2023 Acura MDX Technology,"6,628 mi.",Used,"$53,814","
Vandergriff Acura
","1,363",4.2
2023 Acura MDX Technology,"1,524 mi.",Used,"$54,975","
Vandergriff Acura
","1,363",4.2
2023 Acura MDX Technology,"2,942 mi.",Used,"$55,794","
Vandergriff Acura
","1,363",4.2
2023 Acura MDX Advance,5 mi.,Used,"$64,695","
Vandergriff Acura
","1,363",4.2
2022 Cadillac CT5-V V-Series Blackwing,"2,025 mi.",Used,"$109,999","
Cappellino Cadillac
",0,No names
2022 Kia Telluride S,134 mi.,Used,"$41,998","
Arapahoe Kia
",178,2
2023 Acura MDX Technology,"3,797 mi.",Used,"$54,580","
Vandergriff Acura
","1,363",4.2
2023 Acura MDX A-Spec,"3,498 mi.",Used,"$59,591","
Vandergriff Acura
","1,363",4.2
2022 BMW X7 M50i,"3,884 mi.",Used,"$112,820","
BMW MINI of Clear Lake
",377,4.7
2023 Acura MDX Advance,944 mi.,Used,"$64,695","
Vandergriff Acura
","1,363",4.2
2022 Volkswagen Atlas 3.6L SE w/Technology,"10,301 mi.",Volkswagen Certified,"$46,355","
Don Thornton Volkswagen of Tulsa
",281,3.8
2022 Volkswagen Atlas 2.0T SE,"9,072 mi.",Volkswagen Certified,"$38,370","
Don Thornton Volkswagen of Tulsa
",281,3.8
2023 Acura MDX Advance,"1,306 mi.",Used,"$63,763","
Vandergriff Acura
","1,363",4.2
2022 Ford Explorer Timberline,"4,535 mi.",Used,"$48,000","
Jimmy Michel Motors
",23,No names
2023 Honda Odyssey Touring,14 mi.,Used,"$79,888","
Jerry's Toyota
",935,3.8
2023 Acura MDX Advance,457 mi.,Used,"$64,584","
Vandergriff Acura
","1,363",4.2
2020 Ford Expedition Max Limited,"28,077 mi.",Used,"$62,430","
Jensen Ford Lincoln
",282,4.6
2018 Volvo XC90 T6 R-Design,"29,453 mi.",Used,"$39,990","
TCF Auto Wholesale
",77,4.8
2015 Chevrolet Impala 1LS,"87,559 mi.",Used,"$16,995","
LaFleur Auto Sales
",5,No names
2019 Land Rover Range Rover Sport HSE MHEV,"19,319 mi.",Used,"$65,480","
Giles Nissan Lafayette
",24,3.2
